module name,license,repository
@calebboyd/semaphore,MIT,
@malept/cross-spawn-promise,Apache-2.0,https://github.com/malept/cross-spawn-promise
@nodelib/fs.scandir,MIT,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir
@nodelib/fs.stat,MIT,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat
@nodelib/fs.walk,MIT,https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk
@sindresorhus/is,MIT,https://github.com/sindresorhus/is
@szmarczak/http-timer,MIT,https://github.com/szmarczak/http-timer
@types/cacheable-request,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/component-emitter,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/cookie,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/cors,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/http-cache-semantics,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/keyv,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/node,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/responselike,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/strip-bom,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/strip-json-comments,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
accepts,MIT,https://github.com/jshttp/accepts
ansi-escape-sequences,MIT,https://github.com/75lb/ansi-escape-sequences
ansi-regex,MIT,https://github.com/chalk/ansi-regex
ansi-styles,MIT,https://github.com/chalk/ansi-styles
anymatch,ISC,https://github.com/micromatch/anymatch
app-builder,MIT,https://github.com/calebboyd/app-builder
archive-type,MIT,https://github.com/kevva/archive-type
arg,MIT,https://github.com/zeit/arg
array-back,MIT,https://github.com/75lb/array-back
array-find-index,MIT,https://github.com/sindresorhus/array-find-index
array-flatten,MIT,https://github.com/blakeembrey/array-flatten
array-union,MIT,https://github.com/sindresorhus/array-union
balanced-match,MIT,https://github.com/juliangruber/balanced-match
base64-arraybuffer,MIT,https://github.com/niklasvh/base64-arraybuffer
base64-js,MIT,https://github.com/beatgammit/base64-js
base64id,MIT,https://github.com/faeldt/base64id
